station,year,lat_spar,lon_spar,lat_wt,lon_wt,lat_adcp,lon_adcp
CHRP1,2017,41.4498,-82.46488,41.44991667,-82.46402,,
CHRP1,2018,41.4498,-82.46488333,41.44891667,-82.46465,,
CHRP1,2019,41.45848333,-82.48245,41.4582,-82.48292,,
CHRP2,2017,41.76056667,-82.1266,41.76101667,-82.12547,,
CHRP2,2018,41.76,-82.12998,41.75996833,-82.12832,,
CHRP2,2019,41.76,-82.1321,41.75965,-82.1321,,
CHRP3,2017,41.60178333,-81.63502,41.60066667,-81.63415,41.6012,-81.6348
CHRP3,2018,41.60408333,-81.63603,41.60408333,-81.63653,41.60513333,-81.6377
CHRP3,2019,41.61381667,-81.64228,41.61355,-81.64158,,
CHRP4,2017,41.94816667,-81.7023,41.94771667,-81.7025,,
CHRP4,2018,41.9483,-81.70778333,41.94916667,-81.70538,41.94876667,-81.7054
CHRP4,2019,41.98736667,-81.59711667,41.98743333,-81.59672,41.9874,-81.59692
CHRP5,2017,41.75163333,-81.42092,41.75143333,-81.4208,41.75153333,-81.42087
CHRP5,2019,41.76316667,-81.42925,41.76266667,-81.42947,,
CHRP7,2017,42.2062,-81.78945,42.2058,-81.78963,,
CHRP7,2018,42.21045,-81.78155,42.21086667,-81.78162,,
CHRP7,2019,42.21108333,-81.78173,42.21155,-81.78268,,
CHRP8,2017,42.06636667,-80.41682,42.06688333,-80.41695,,
CHRP8,2018,42.06623833,-80.41607,42.06660667,-80.41538,,
CHRP8,2019,42.0675,-80.41875,42.06825,-80.41958,,
CHRP9,2017,42.19238333,-80.85743,42.1924,-80.85805,,
CHRP9,2018,42.192513,-80.8584,42.192513,-80.8584,,
CHRP9,2019,42.17568333,-80.85978,42.17613333,-80.85883,,
